id,timestamp,team_id,level,type,death_reason,data
6214,2026-01-16 20:27:34.911464+00,927,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
6215,2026-01-16 20:27:34.954297+00,966,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
6216,2026-01-16 20:27:35.134867+00,894,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_05"",""mini_game_id"":""word-encodings""}"
6218,2026-01-16 20:27:37.636134+00,499,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_05"",""mini_game_id"":""word-encodings""}"
6221,2026-01-16 20:27:40.738895+00,28,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
6226,2026-01-16 20:27:47.258422+00,966,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
6230,2026-01-16 20:27:53.051896+00,3,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_03"",""mini_game_id"":""word-scramble""}"
6232,2026-01-16 20:27:58.010387+00,798,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
7592,2026-01-16 21:02:47.754699+00,12,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
8284,2026-01-16 21:24:47.699052+00,811,CEMETERY,death_spike_trap,SPIKE_TRAP,"{""death_reason"":""SPIKE_TRAP""}"
8289,2026-01-16 21:25:01.413495+00,100,CEMETERY,death_flame_trap,FLAME_TRAP,"{""death_reason"":""FLAME_TRAP""}"
8299,2026-01-16 21:25:32.281551+00,100,CEMETERY,death_flame_trap,FLAME_TRAP,"{""death_reason"":""FLAME_TRAP""}"
8339,2026-01-16 21:27:20.714379+00,662,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
8867,2026-01-16 21:41:59.765555+00,991,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
8871,2026-01-16 21:42:08.412433+00,100,CEMETERY,WISP_ATTACK,WISP_ATTACK,"{""death_reason"":""WISP_ATTACK""}"
8873,2026-01-16 21:42:11.152053+00,1524,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_06"",""mini_game_id"":""flag-identification""}"
8885,2026-01-16 21:42:37.716826+00,100,CEMETERY,death_spike_trap,SPIKE_TRAP,"{""death_reason"":""SPIKE_TRAP""}"
9546,2026-01-16 22:03:06.932609+00,498,CEMETERY,death_flame_trap,FLAME_TRAP,"{""death_reason"":""FLAME_TRAP""}"
10374,2026-01-16 22:39:01.767167+00,33,CEMETERY,death_spike_trap,SPIKE_TRAP,"{""death_reason"":""SPIKE_TRAP""}"
10379,2026-01-16 22:39:09.550859+00,595,CEMETERY,death_spike_trap,SPIKE_TRAP,"{""death_reason"":""SPIKE_TRAP""}"
10386,2026-01-16 22:39:21.192183+00,966,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
